交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2026/6/13 1:34,食品酒水,零食,弹性支出,建行储蓄,CNY,4.51,本人,拼多多,,
支出,2026/6/13 1:32,食品酒水,零食,弹性支出,建行储蓄,CNY,6.8,本人,拼多多,,
支出,2026/6/13 1:32,食品酒水,零食,弹性支出,建行储蓄,CNY,6.8,本人,拼多多,,
支出,2026/6/11 22:51,食品酒水,零食,弹性支出,中信i白金0257,CNY,5.88,本人,拼多多,,
余额变更,2026/6/10 13:08,,,,招商银行,CNY,12.53,,,,
转入,2026/6/10 13:07,,,,招商银行,CNY,2000,,,,pHXSA4U4dTO6OU44lwhW
转出,2026/6/10 13:07,,,,建行储蓄,CNY,2000,,,,pHXSA4U4dTO6OU44lwhW
余额变更,2026/6/10 13:03,,,,招商银行,CNY,7,,,,
余额变更,2026/6/10 13:03,,,,招商银行,CNY,52.13,,,,
余额变更,2026/6/10 13:02,,,,雪球基金,CNY,1526,,,,
余额变更,2026/6/10 13:02,,,,华泰证券,CNY,15000,,,,
余额变更,2026/6/10 13:02,,,,招商证券,CNY,-10000,,,,
转入,2026/6/10 13:01,,,,中信i白金0257,CNY,3376.59,本人,,还信用卡,yBqUdVGGZwPYs56NI9eU
转出,2026/6/10 13:01,,,,微信零钱,CNY,3376.59,本人,,还信用卡,yBqUdVGGZwPYs56NI9eU
支出,2026/6/10 3:42,居家物业,日常用品,弹性支出,广发华为,CNY,11.52,家庭公用,拼多多,厨房水槽过滤网,
支出,2026/6/5 12:57,居家物业,房租水电,固定支出,中信i白金0257,CNY,4.39,家庭公用,,老家水电,
支出,2026/6/4 12:55,食品酒水,零食,弹性支出,广发华为,CNY,8.7,本人,拼多多,法丽兹,
支出,2026/6/3 17:12,食品酒水,零食,弹性支出,广发华为,CNY,12.19,本人,拼多多,,
支出,2026/6/3 15:51,行车交通,打车租车,妹子,广发华为,CNY,20,fish,,惠东南站，定制公交，,
